id,created_at,deleted,updated_at,juz_number,surah_order_number,verses_count,verses_order_number
1,2023-01-04 10:49:15.103000,false,2023-01-04 10:49:15.103000,1,1,7,1-7
2,2023-01-04 10:51:07.633000,false,2023-01-04 10:51:07.633000,1,2,141,1-141
3,2023-01-04 14:13:45.776000,false,2023-01-04 14:13:45.776000,2,2,111,142-252
4,2023-01-05 14:55:13.620000,false,2023-01-05 14:55:13.620000,3,2,34,253-286
5,2023-01-05 14:55:53.690000,false,2023-01-05 14:55:53.690000,3,3,92,1-92
6,2023-01-05 14:57:45.134000,false,2023-01-05 14:57:45.134000,4,3,108,93-200
7,2023-01-05 14:59:49.160000,false,2023-01-05 14:59:49.160000,4,4,23,1-23
8,2023-01-05 15:00:50.808000,false,2023-01-05 15:00:50.808000,5,4,124,24-147
9,2023-01-05 15:02:12.351000,false,2023-01-05 15:02:12.351000,6,4,29,148-176
10,2023-01-05 15:02:54.200000,false,2023-01-05 15:02:54.200000,6,5,81,1-81
11,2023-01-05 15:03:55.769000,false,2023-01-05 15:03:55.769000,7,5,39,82-120
12,2023-01-05 15:04:28.062000,false,2023-01-05 15:04:28.062000,7,6,110,1-110
13,2023-01-05 15:05:14.537000,false,2023-01-05 15:05:14.537000,8,6,55,111-165
14,2023-01-05 15:05:45.455000,false,2023-01-05 15:05:45.455000,8,7,87,1-87
15,2023-01-05 15:06:55.083000,false,2023-01-05 15:06:55.083000,9,7,119,88-206
16,2023-01-05 15:07:40.953000,false,2023-01-05 15:07:40.953000,9,8,40,1-40
17,2023-01-05 15:08:25.572000,false,2023-01-05 15:08:25.572000,10,8,35,41-75
18,2023-01-05 15:08:59.040000,false,2023-01-05 15:08:59.040000,10,9,92,1-92
19,2023-01-05 15:11:27.081000,false,2023-01-05 15:11:27.081000,11,9,37,93-129
20,2023-01-05 15:12:10.781000,false,2023-01-05 15:12:10.781000,11,10,109,1-109
21,2023-01-05 15:12:36.012000,false,2023-01-05 15:12:36.013000,11,11,5,1-5
22,2023-01-05 15:22:54.751000,false,2023-01-05 15:22:54.751000,12,11,118,6-123
23,2023-01-05 15:23:43.456000,false,2023-01-05 15:23:43.456000,12,12,52,1-52
24,2023-01-05 15:25:37.107000,false,2023-01-05 15:25:37.107000,13,12,59,53-111
25,2023-01-05 15:26:09.025000,false,2023-01-05 15:26:09.025000,13,13,43,1-43
26,2023-01-05 15:26:43.368000,false,2023-01-05 15:26:43.368000,13,14,52,1-52
27,2023-01-05 15:27:31.057000,false,2023-01-05 15:27:31.057000,14,15,99,1-99
28,2023-01-05 15:28:05.060000,false,2023-01-05 15:28:05.060000,14,16,128,1-128
29,2023-01-05 15:28:59.615000,false,2023-01-05 15:28:59.615000,15,17,111,1-111
30,2023-01-05 15:30:19.504000,false,2023-01-05 15:30:19.504000,15,18,74,1-74
31,2023-01-05 15:33:23.868000,false,2023-01-05 15:33:23.868000,16,18,36,75-110
32,2023-01-05 15:34:11.502000,false,2023-01-05 15:34:11.502000,16,19,98,1-98
33,2023-01-05 15:35:01.743000,false,2023-01-05 15:35:01.743000,16,20,135,1-135
34,2023-01-05 15:36:04.931000,false,2023-01-05 15:36:04.931000,17,21,112,1-112
35,2023-01-05 15:36:42.410000,false,2023-01-05 15:36:42.410000,17,22,78,1-78
36,2023-01-05 15:37:22.794000,false,2023-01-05 15:37:22.794000,18,23,118,1-118
37,2023-01-05 15:37:48.650000,false,2023-01-05 15:37:48.650000,18,24,64,1-64
